CO,Ozone,NO2,SO2,PM2.5,PM10,AQI
0.72,19.02,11.73,9.76,34.83,57.33,58
1.04,15.41,11.53,8.34,31.88,58.92,59
0.84,17.64,11.51,6.92,23.54,44.67,45
0.67,21.63,11.57,8.26,23.83,42.54,40
0.73,18,11.53,9.9,22.13,42.46,42
0.63,15.64,11.59,8.01,17.17,35.79,36
0.66,14.39,11.5,9.65,16.38,39.29,39
0.5,13.5,11.65,7.93,14.71,35.88,36
0.6,15.9,11.5,10,10.29,26.38,30
0.54,12.79,11.48,7.21,6.71,16.21,27
0.58,14.72,11.79,6.71,15.54,36.33,36
1.02,14.82,11.67,7.72,14.58,36.58,37
0.53,13.99,11.6,7.85,17.42,35.83,37
1.02,12.7,11.67,8.57,14.33,34.21,44
0.94,13.25,11.64,8.83,18.25,45.42,45
0.91,14.02,11.57,9.57,20.13,47.58,48
0.82,14.25,11.59,7.78,19.67,43.79,44
0.64,12.73,11.54,9.05,10.79,27.42,27
0.5,13.37,11.51,7.77,9,21.79,22
0.42,16.72,11.69,7.68,11.88,20.88,21
0.73,18.63,11.5,7.47,10.79,22.13,22
0.69,15.76,11.57,7.69,14.13,32.58,33
1.07,17.97,11.6,8.8,18.88,41.75,42
0.78,15.25,11.52,7.78,15.75,36.54,37
0.47,12.27,11.49,8.79,11.04,32.54,33
0.44,13.23,11.56,8,16.58,40.58,41
0.56,16.09,11.65,7.21,30.71,60.17,60
0.74,15.39,11.47,10.19,25.63,49.54,50
0.97,19.07,11.6,9.86,24.63,49.29,49
0.87,18.81,11.56,8.25,41.17,69.38,69
0.76,18.31,11.58,8.72,43.71,74.21,74
0.63,15.62,11.62,8.14,41.42,72,72
1.04,13.07,11.48,7.53,51.71,88,88
0.69,12.51,11.48,7.31,16.71,28.71,29
0.78,14.72,11.47,8.53,8.04,20,20
0.9,16.19,11.44,9.14,18.58,38.13,38
0.84,15.78,11.4,8.83,30.88,58.21,58
0.93,13.76,11.45,9.01,30,47.92,48
0.66,13.76,11.49,7.58,35.88,60.96,61
0.66,15.26,11.34,8.92,55.33,83.63,84
0.6,16.16,11.24,8.84,53.75,73.08,73
0.52,13.97,10.04,10,30.5,50.08,50
0.75,16.26,10.3,8.68,20.71,40.92,41
0.83,15.82,11.63,8.1,27.21,51.17,51
0.89,13.6,11.49,9.18,28.46,51.5,52
0.5,14.48,11.43,8.26,15.96,33.96,34
0.59,12.27,11.61,8.23,23.5,44.9,45
,,,,,,
,,,,,,
,,,,,,
0.81,12,11.6,6.6,31,59,59
0.66,13.4,11.6,8.9,39,64,65
0.55,16.9,11.5,10.3,34,61,61
0.83,13.7,11.6,9.2,35,60,60
0.5,14.8,11.5,8.4,21,37,37
0.59,13.8,11.7,7.4,25,46,46
0.58,14.4,11.6,7.8,29,37,48
0.97,13.6,11.6,8.7,24,29,40
0.68,12.8,11.6,9,26,26,43
0.78,14.3,11.5,7.7,28,25,47
0.59,14.1,11.5,10.6,22,24,37
0.66,15.1,11.6,7.4,-,53,53
0.7,15.6,11.6,6.2,21,39,39
0.61,15.5,11.6,6.2,23,45,45
0.88,16.2,11.6,5.5,33,66,66
0.79,17.2,11.7,6.3,53,98,98
0.71,17.2,11.7,5.1,41,104,103
0.6,18.3,11.6,5.5,30,76,76
0.56,14.6,11.5,8.1,19,58,58
0.9,12.5,11.5,9.6,23,62,62
0.53,14.2,11.6,8.6,17,48,48
0.52,14.9,11.5,9.1,22,62,62
0.59,15.2,11.4,7.3,22,64,64
0.56,17.3,11.4,7.9,23,56,56
0.58,17.8,11.3,6.9,26,72,72
0.48,17.7,11.3,8.7,24,59,59
0.54,17.9,11.1,7.5,22,60,60
0.54,18,11,8.4,22,49,49
0.54,17.4,11.1,9.5,22,34,37
0.57,19.5,11,8.5,26,46,46
0.55,16.7,11.1,10,25,45,45
,,,,,,
,,,,,,
,,,,,,
0.55,17.8,11,6.3,27,48,48
0.61,15.3,10.8,6.6,26,47,47
0.64,15.7,10.9,8.6,24,44,44
0.48,17.8,10.9,8.3,23,43,43
0.59,16.7,10.7,8.7,26,47,47
0.73,17.2,10.7,8.9,24,44,44
0.55,18.2,10.6,7.9,25,45,45
0.57,18.4,10.5,9.7,25,45,45
0.69,17,10.3,8.2,20,36,36
0.66,17.4,10.2,9.7,25,46,46
0.56,17,10.1,8.7,30,54,54
0.66,15.6,10.1,7.9,25,46,47
0.77,16.3,9.6,10.7,18,34,38
0.54,17.4,9.9,8.1,20,38,38
0.6,24.6,9.7,8.4,16,31,31
0.7,18.7,9.6,8.9,21,38,47
0.56,16.8,9.4,8.1,17,32,32
0.49,14.8,9.3,8.6,14,27,27
0.74,16.6,9.4,8.3,19,36,37
0.78,17.6,9.4,9.1,31,55,55
0.66,20.9,9.1,9.9,37,63,63
0.8,17.7,9.1,8.2,27,52,52
0.57,15.7,8.9,8.4,22,48,48
1.63,16.9,8.9,8.5,20,47,47
0.68,18.7,8.5,8.2,33,64,64
-,19.1,8.5,8.4,28,58,58
-,18.1,8.4,8.3,23,46,46
-,20.6,8.4,7.9,22,44,44
-,19.2,8.3,9.8,25,47,47
,,,,,,
,,,,,,
,,,,,,
-,20.2,8.4,9.9,27,55,55
-,18.5,8.2,9,32,61,61
-,27.5,8.2,9,36,63,63
0.44,20.4,8.1,8.8,42,68,70
0.34,18.1,8.1,6.4,39,65,65
0.45,16.7,8.1,8.4,20,43,43
0.41,18.1,8,7.8,32,60,60
0.43,18.6,8.2,8.2,27,55,56
0.42,17.9,7.8,7.9,27,55,55
0.35,20.7,8.1,6.8,29,54,54
0.48,19.1,8.1,9.2,37,69,69
0.39,22,7.9,7.4,40,70,70
0.48,19.7,8.3,9.2,40,65,67
0.43,18.3,8,8.2,39,70,70
0.48,12.9,8.2,9.2,29,65,65
0.45,15.7,7.9,8.5,24,59,59
0.39,17.1,8,7.5,26,58,58
0.5,17.4,7.5,9.6,26,51,51
0.52,22.5,8,9.8,24,49,49
0.43,24,7.7,8.2,34,50,57
0.4,18.4,7.7,7.7,36,58,60
